acceptance-test-driven development,specification by example
daily scrum,daily stand-up
envisioning,product planning
implementable story,sprintable story
minimum releasable features,must-have features
must-have features,minimum releasable features
plan-driven process,anticipatory process
plan-driven process,predictive process
plan-driven process,prescriptive process
plan-driven process,sequential process
plan-driven process,traditional development process
plan-driven process,waterfall process
product backlog grooming,product backlog refinement
product backlog refinement,product backlog grooming
project chartering,project inception
project chartering,project initiation
sprint mapping,PBI slotting
waterscrum,Scrummerfall
absolute address,explicit address
absolute address,specific address
absolute code,specific code
address field,address part
argument,actual parameter
assembler language,assembler code
assembly language,assembler language
assembly language,low level language
assembly language,second generation language
atomic type,primitive type
bit steering,immediate control
black box,configuration diagram
black box,system resources chart
blocking factor,initial program load
box diagram,Chapin chart
box diagram,Nassi-Shneiderman chart
box diagram,program structure diagram
branch,branchpoint
call by reference,call by address
call by reference,call by location
call graph,call tree
call graph,tier chart
case,multiple exclusive selective construct
change dump,differential dump
code breakpoint,control breakpoint
code generator,source code generator
cohesion,module strength
common-environment coupling,common coupling
common storage,common area
common storage,common block
compiler generator,compiler compiler
compiler generator,metacompiler
component testing,module testing
concurrent,parallel
configuration control,change control
control flow,flow of control
data breakpoint,storage breakpoint
data coupling,input-output coupling
data flow diagram,data flowchart
data flow diagram,data flow graph
data-sensitive fault,pattern-sensitive fault
design description,design document
design description,design specification
direct address,one-level address
directed graph,digraph
disassembler,deassembler
early-failure period,burn-in period
entity-relationship relationships among them,entity-relationship map
entry point,entrance
entry point,entry
epilog breakpoint,postamble breakpoint
error model,error prediction model
error seeding,bug seeding
error seeding,fault seeding
execution time,run time
execution time,running time
execution trace,code trace
execution trace,control-flow trace
fault masking,adaptability
functional testing,black-box testing
generality,synthetic address
glass box,white box
global data,common data
high order language,high level language
high order language,higher order language
high order language,third generation language
housekeeping operation,overhead operation
idle time,standby time
incremental compiler,conversational compiler
incremental compiler,interactive compiler
incremental compiler,on-line compiler
the operand,multilevel address
installation manual,program counter
interrupt,interruption
job stream,run stream
jump,transfer
kernel,nucleus
kernel,resident control program
link,linkage
linkage editor,linker
loop,iterative construct
loop assertion,loop invariant
machine code,first generation fifth generation language
machine code,fourth generation language
machine code,high order language
machine code,symbolic language
macrogenerator,macro generating program
maintenance,software maintenance
memory compaction,garbage collection
mixed mode,mixed type
modular decomposition,modularization
monitor,execution monitor
