('team member', 'team members'),[  1.36152612e-05   9.99986410e-01]
('complete', 'completed'),[  2.67630003e-05   9.99973178e-01]
('resolve', 'resolved'),[  5.32342419e-05   9.99946713e-01]
('deployment', 'deploy'),[  8.66837800e-05   9.99913335e-01]
('acceptance test', 'user acceptance test'),[  9.66381631e-05   9.99903321e-01]
('development', 'developer'),[  1.12391317e-04   9.99887586e-01]
('product backlog item', 'sprint backlog item'),[  1.87219761e-04   9.99812782e-01]
('computer', 'completed'),[  3.01313907e-04   9.99698758e-01]
('team demo', 'demo'),[  3.25417815e-04   9.99674559e-01]
('sprint backlog', 'sprint backlog item'),[  3.71939386e-04   9.99628067e-01]
('commitment', 'commit'),[  4.37590032e-04   9.99562442e-01]
('product backlog grooming', 'backlog grooming'),[  4.66808444e-04   9.99533176e-01]
('backlog item', 'sprint backlog item'),[  5.27144701e-04   9.99472916e-01]
('acceptance testing', 'user acceptance test'),[  6.63788407e-04   9.99336183e-01]
('remote team member', 'team members'),[  7.27586390e-04   9.99272406e-01]
('sprint demo', 'demo'),[  8.29466677e-04   9.99170542e-01]
('result', 'test result'),[ 0.00101468  0.99898535]
('continuous deployment', 'deployment'),[ 0.0011101   0.99888986]
('prioritized list', 'prioritized'),[ 0.00151552  0.99848455]
('testing', 'test result'),[ 0.00156959  0.99843043]
('test', 'test result'),[ 0.0017796   0.99822038]
('backlog', 'backlog grooming'),[ 0.00194958  0.99805045]
('automated build', 'build'),[ 0.00196827  0.99803168]
('grooming', 'backlog grooming'),[ 0.00217107  0.9978289 ]
('system demo', 'demo'),[ 0.00219668  0.99780327]
('delivery', 'deployment'),[ 0.00261604  0.99738401]
('schedule', 'release schedule'),[ 0.00319112  0.99680883]
('estimation', 'estimated cost'),[ 0.00336497  0.99663502]
('process area', 'risky areas'),[ 0.00376001  0.99624002]
('estimate', 'estimated cost'),[ 0.0038328   0.99616712]
('process', 'in progress'),[ 0.00390296  0.99609703]
('team', 'team members'),[ 0.00398344  0.99601656]
('risk', 'estimated cost'),[ 0.00446988  0.99553019]
('subject area', 'risky areas'),[ 0.00495588  0.99504411]
('team demo', 'team members'),[ 0.00496937  0.99503064]
('test', 'user acceptance test'),[ 0.00519228  0.99480778]
('ideal hours', 'estimated hours'),[ 0.00544987  0.99455017]
('acceptance', 'user acceptance test'),[ 0.00552022  0.99447978]
('deployment plan', 'deployment'),[ 0.00576196  0.99423802]
('team', 'task'),[ 0.00592477  0.99407518]
('testing', 'user acceptance test'),[ 0.00598037  0.99401963]
('estimation', 'estimated hours'),[ 0.00601826  0.99398178]
('demo demonstration', 'demo'),[ 0.00604202  0.993958  ]
