assumptions,assumption,s
stakeholders,stakeholder,s
acceptance-test-driven development,acceptance test driven development,s
user role,user roles,s
story point,story points,s
minimum marketable feature,minimum marketable features,s
user requirement,user requirements,s
software requirements specification,software requirements verification,re
non-functional requirement,functional requirement,re
nonfunctional requirements,functional requirement,re
story points,user story points,s
requirement,raw requirement,hyper
functional size,functionality,re
function,functionality,re
user need,user roles,re
story point,story test,re
user story,user roles,re
requirements traceability,requirements traceability tool,re
change control board,change control,re
acceptance test,user acceptance tests,s
story point,user story points,s
software quality,software safety,hyper
technical requirements,nontechnical requirement,re
functional design,functional domain,re
feature team,feature creep,re
technical review,technical stories,re
function point,function point count,re
requirements traceability matrix,requirements traceability tool,re
story mapping,story points,re
user requirement,raw requirement,s
business rule,business owners,re
story points,story test,re
function field,functionality,unknown
test,story test,hyper
story test,story,re
reusability,reliability,re
user,user roles,re
role,user roles,hyper
software requirements specification,interface requirements specification,hyper
points,story points,hyper
variability,reliability,re
user requirement,requirement,s
entry,story,re
system requirement,user requirements,hypon
system requirement,design requirement,hypon
user requirement,design requirement,hyper
user,story,re
requirement,user requirements,s
personas,user persona,s
glossary,model glossary,hyper
grooming,story grooming,s
kano model analysis,functional analysis,hypon
style,story,not
requirements traceability,requirements traceability matrix,hyper
word,story,not
system stakeholder,stakeholder,hypon
user role,user persona,re
design element,design requirement,re
acceptance testing,user acceptance tests,s
loop control,change control,not
performance specification,formal specification,re
requirements phase,requirements review,hyper
function field,function point,unknown
story mapping,story grooming,hypon
story point,story grooming,re
feature teams,feature creep,re
function point,functionality,re
kano analysis,functional analysis,hyper
term,story,not
domain modeling,threat modeling,re
technical practices,technical stories,re
specification,specification tree,hyper
item,story,not
internal stakeholders,identify stakeholders,re
point,story points,hyper
nonfunctional requirement,nontechnical requirement,s
step,story,not
constraint,design constraint,hyper
tool,story,re
stakeholders,stakeholder value,re
story splitting,story grooming,hypon
usage scenario,scenario,s
design language,natural language,re
functional design,functionality,re
performance specification,product specification,hypon
backlog grooming,story grooming,s
performance specification,project specification,hypon
function point,functional domain,re
story point,function point,re
external interface requirement,interface requirement,hypon
system stakeholder,external stakeholders,re
software requirements review,requirements review,s
software requirements specification,requirements specification,s
test driven development,acceptance test driven development,hyper
software design verification,software requirements verification,re
system stakeholder,identify stakeholders,re
technical requirements,functional requirement,re
project initiation,project specification,re
story point,story,re
formal testing,story test,re
software testing,story test,hyper
testing,story test,hyper
external stakeholders,identify stakeholders,re
diagram,context diagram,hyper
technical requirements,design requirement,re
functional size,function point,re
analysis,functional analysis,hyper
specification,product specification,hyper
unit testing,story test,re
test-driven development,acceptance test driven development,hyper
specification,project specification,hyper
business value,business owners,not
requirements specification,interface requirements specification,hyper
user story,user persona,re
functional size,functional domain,re
software design,software safety,re
function point,story points,re
interface control,change control,not
feature,feature creep,re
user need,user persona,hypon
chaotic domain,functional domain,re
user roles,user persona,re
user stories,user story points,hyper
story points,story grooming,re
use case diagram,context diagram,re
control flow diagram,context diagram,re
function,function point,re
scope,scope creep,re
project management,requirements management,hyper
requirements phase,requirement,re
stakeholders,identify stakeholders,re
programming language,natural language,re
story splitting,story points,re
requirements specification,requirements specification language,re
technical debt,technical stories,re
process management,requirements management,hyper
software safety program,software safety,hypon
schedule analysis,functional analysis,re
functional size,functional analysis,re
traceability,traceability matrix,re
story mapping,story test,not
functional design,functional analysis,re
burn down chart,release burndown chart,s
requirements specification,project specification,hypon
software,software safety,hyper
point,function point,hyper
safety,software safety,s
technical requirements,user requirements,re
story points,story,re
software requirements review,software requirements verification,re
functionality,functional domain,re
specification,use case specification,hyper
impact analysis,functional analysis,re
complex domain,functional domain,re
business requirement,user requirements,re
system requirement,raw requirement,re
business requirement,design requirement,re
class diagram,context diagram,re
high-level language,natural language,hyper
product owner,business owners,re
technical requirements,interface requirement,re
sprint review,requirements review,re
high order language,natural language,re
software product,software safety,re
software testing,software safety,re
functional requirement,nontechnical requirement,re
specification,behavior specification,hyper
simple domain,functional domain,re
nonfunctional requirements,nontechnical requirement,s
user interface,user persona,re
functional analysis,functionality,re
product vision,product description,re
technical requirements,raw requirement,re
requirements allocation,requirements specification,re
functional requirement,raw requirement,re
functional analysis,functional domain,re
product management,requirements management,hyper
definition,reliability,not
functional design,function point,re
specification language,specification tree,re
navigation,validation,not
product analysis,functional analysis,hyper
stakeholder,identify stakeholders,re
usability,reliability,re
functional design,functional requirement,re
owner,business owners,hyper
complexity matrix,traceability matrix,not
requirements phase,requirements management,hypon
risk management,requirements management,re
story mapping,story,re
value,story,not
stage,story,not
portability,reliability,re
deliver,story,re
performance specification,use case specification,re
change,change control,re
scope,story,re
requirement,reliability,re
user,user persona,re
functional requirement,user requirements,hypon
system requirement,system requirements review,re
requirement,requirements review,re
user interface,user roles,re
non-functional requirement,nontechnical requirement,s
system requirement,requirement,hypon
assumption,validation,re
requirements specification,product specification,re
points,function point,hyper
effort,story,not
requirements specification,formal specification,re
model,threat modeling,hyper
end user,user roles,hypon
user stories,user roles,re
user class,user roles,re
application,validation,not
specification language,requirements specification language,hyper
complicated domain,functional domain,re
software aging,software safety,re
note,story,not
end-user,user roles,re
name,story,not
usability testing,story test,hypon
technical requirements,requirement,hypon
story splitting,story test,not
performance specification,functional specification,re
exploratory testing,story test,re
use case diagram,use case specification,re
design pattern,design constraint,not
context,context diagram,re
role,story,re
estimation,validation,re
design element,design constraint,re
measurement,requirement,not
project inception,project specification,re
probability,reliability,not
behavior driven development,acceptance test driven development,re
job,story,s
user story,story test,re
peer review,requirements review,re
field,story,not
product,story,not
design fault,design constraint,unknown
story test,story grooming,re
test class,story test,re
design language,design constraint,re
requirements traceability matrix,traceability matrix,hypon
root,story,not
time,story,not
user story,sprintable story,hyper
list,prioritized list,hyper
estimation,assumption,re
decision tree,specification tree,re
baseline,requirements,not
user requirement,interface requirement,re
statechart diagram,context diagram,re
activity diagram,context diagram,re
sequence diagram,context diagram,re
association,assumption,not
information management,requirements management,hyper
portfolio management,requirements management,hyper
function field,functional domain,unknown
business value,stakeholder value,re
goal,story,not
box,story,not
performance specification,behavior specification,re
metric,scenario,not
team,story,not
requirements engineering,requirements review,hyper
facilitation,validation,not
theme,story,not
source,story,not
class,story,not
technical requirements,technical stories,re
user requirement,reference user requirements,hypre
return,story,not
actor,story,not
business model,business owners,re
proof,story,not
feature,story,re
traceability,reliability,re
task,story,s
function field,functional analysis,unknown
root cause analysis,functional analysis,hypon
safety,story,not
component testing,story test,not
requirements specification,use case specification,re
functional size,functional requirement,re
nonfunctional requirement,design requirement,re
spike,story,hypon
function point,user story points,re
value,stakeholder value,hyper
automation,validation,re
done,story,not
flexibility,reliability,re
environment,requirement,not
group,story,not
power of test,story test,re
technical review,requirements review,re
place,story,not
domain,functional domain,hyper
use case model,threat modeling,re
points,user story points,hyper
nonfunctional requirement,interface requirement,re
specification by example,specification tree,re
suite,story,not
requirements traceability,requirements review,re
nonfunctional requirement,implementation requirement,re
requirements allocation,requirements flow-down,re
agile project management,requirements management,hyper
plan risk management,requirements management,re
software maintenance,software safety,re
software requirements analysis,software requirements verification,re
user stories,story,s
design pattern,design requirement,not
stream,story,not
startup,story,not
requirements allocation,requirements review,re
detailed design specification,requirements specification,re
specification language,natural language,re
story,technical stories,hyper
system requirement,interface requirement,hyper
business requirement,raw requirement,re
requirements specification,behavior specification,re
functionality,functional requirement,s
kanban board,change control board,s
report,story,not
requirements management,requirements review,hyper
story,sprintable story,hyper
nonfunctional requirement,requirement,hypon
software metric,software safety,not
user roles,user requirements,re
non-functional requirement,implementation requirement,re
regression testing,story test,not
product vision,product specification,re
data flow diagram,context diagram,hyper
management,requirements management,hyper
nonfunctional requirements,user requirements,hypon
project risk management,requirements management,re
test-first development,acceptance test driven development,hyper
nonfunctional requirements,design requirement,re
request,requirement,s
project manager,requirements management,re
test criteria,story test,re
down,story,not
detailed design specification,performance specification,re
functional requirement,functional domain,re
implementable story,technical stories,re
nonfunctional requirements,interface requirement,hyper
system requirement,nontechnical requirement,re
use case model,use case specification,re
non-functional requirement,design requirement,re
nonfunctional requirements,implementation requirement,re
values,stakeholder value,hyper
scale,story,not
use case,use case specification,hypon
external quality,external stakeholders,not
nonfunctional requirements,requirement,hypon
must-have features,minimum marketable features,s
non-functional requirement,requirement,hypon
burnup chart,release burndown chart,s
technical stories,sprintable story,re
business requirement,functional requirement,re
back-to-back testing,story test,re
design fault,design requirement,re
clear,scenario,not
detailed design specification,use case specification,re
disorder domain,functional domain,re
acceptance testing,story test,s
non-functional requirement,interface requirement,re
functional requirement,well-formed requirement,re
system requirement,well-formed requirement,re
user requirement,well-formed requirement,re
nonfunctional requirement,raw requirement,re
test,story,not
product family,product specification,not
nonfunctional requirement,user requirements,hypon
point,user story points,hyper
nice-to-have features,minimum marketable features,re
product line,product description,re
requirements engineering,requirements traceability,hyper
product family,product description,re
requirements engineering,requirements specification,hyper
assumptions,validation,re
loop,story,not
function,functional domain,re
product backlog,product description,not
rework,story,not
requirements allocation,requirements traceability,re
technical requirements,implementation requirement,re
implementable story,story,hypon
product planning,product description,not
user requirement,nontechnical requirement,hyper
