Label Encoding:
no=[1, 0]
yes=[0, 1]
[('project management process group', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('maintenance', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('component testing', 'software requirements review')],[[ 0.76631528  0.23368473]]
[('feature teams', 'software requirements review')],[[ 0.76631612  0.23368387]]
[('contractor', 'software requirements review')],[[ 0.76632172  0.23367828]]
[('precision', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('suite', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('agile manifesto', 'software requirements review')],[[ 0.7663222   0.23367782]]
[('operational expense', 'software requirements review')],[[ 0.76632059  0.23367943]]
[('dot voting', 'software requirements review')],[[ 0.76632196  0.23367795]]
[('recursion', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('project chartering', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('design', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('association', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('Scrum team', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('functional size', 'software requirements review')],[[ 0.76632112  0.23367889]]
[('risk management', 'software requirements review')],[[ 0.76632142  0.23367859]]
[('project team', 'software requirements review')],[[ 0.7663222   0.23367782]]
[('sprint execution', 'software requirements review')],[[ 0.76631945  0.23368049]]
[('agile', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('project initiation', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('technical debt', 'software requirements review')],[[ 0.76632112  0.23367889]]
[('failure', 'software requirements review')],[[ 0.76632214  0.23367792]]
[('disorder domain', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('test environment', 'software requirements review')],[[ 0.76628238  0.23371767]]
[('acceptance-test-driven development', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('virtual', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('story test', 'software requirements review')],[[ 0.76631945  0.23368049]]
[('monitoring and controlling processes', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('external stakeholders', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('invest', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('sprintable story', 'software requirements review')],[[ 0.76632273  0.23367721]]
[('poker planning', 'software requirements review')],[[ 0.76632184  0.23367815]]
[('line of code', 'software requirements review')],[[ 0.76631927  0.23368073]]
[('return code', 'software requirements review')],[[ 0.76631582  0.23368417]]
[('component', 'software requirements review')],[[ 0.76632214  0.23367792]]
[('incremental funding', 'software requirements review')],[[ 0.76631945  0.23368055]]
[('single-piece flow', 'software requirements review')],[[ 0.76621366  0.23378642]]
[('essential scrum', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('rating', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('operations', 'software requirements review')],[[ 0.76631939  0.23368058]]
[('monitoring', 'software requirements review')],[[ 0.76632196  0.23367795]]
[('cost accounting', 'software requirements review')],[[ 0.76631182  0.23368813]]
[('batch size', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('use case model', 'software requirements review')],[[ 0.76630116  0.23369886]]
[('language binding', 'software requirements review')],[[ 0.76632285  0.23367718]]
[('loop', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('real-time scheduling theory', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('high order language', 'software requirements review')],[[ 0.76630825  0.23369177]]
[('performance', 'software requirements review')],[[ 0.76631933  0.23368068]]
[('done', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('weighted shortest job first', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('customer uncertainty', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('field', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('flow chart', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('goal', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('successor activity', 'software requirements review')],[[ 0.76632005  0.23368001]]
[('diagram number', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('innovation accounting', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('load', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('sprint planning', 'software requirements review')],[[ 0.7663222   0.23367782]]
[('result', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('business value', 'software requirements review')],[[ 0.76632017  0.23367988]]
[('navigation', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('point inflation', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('technical performance measurement', 'software requirements review')],[[ 0.76632148  0.2336785 ]]
[('known technical debt', 'software requirements review')],[[ 0.7663101   0.23368989]]
[('package', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('antifragility', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('waterfall', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('three questions', 'software requirements review')],[[ 0.76631612  0.23368387]]
[('complicated domain', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('production', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('application', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('progressive refinement', 'software requirements review')],[[ 0.76631594  0.23368405]]
[('independent', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('Kanban', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('sprint retrospective', 'software requirements review')],[[ 0.76631135  0.23368865]]
[('colocation', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('Cynefin', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('cost of delay', 'software requirements review')],[[ 0.76631302  0.23368695]]
[('tree', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('measurement', 'software requirements review')],[[ 0.76631653  0.2336835 ]]
[('access permission', 'software requirements review')],[[ 0.76631874  0.23368123]]
[('project risk management', 'software requirements review')],[[ 0.76631844  0.23368157]]
[('slack', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('means uncertainty', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('performance specification', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('sprint demo', 'software requirements review')],[[ 0.76631874  0.23368128]]
[('binding', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('definition', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('feature based planning', 'software requirements review')],[[ 0.76629627  0.23370367]]
[('submit', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('log', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('reverse execution', 'software requirements review')],[[ 0.76631922  0.23368087]]
[('customer', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('address', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('version', 'software requirements review')],[[ 0.76632208  0.23367795]]
[('test driven development', 'software requirements review')],[[ 0.7662766   0.23372337]]
[('workflow', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('write', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('constant', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('minimum viable product', 'software requirements review')],[[ 0.76631665  0.23368338]]
[('decision criteria', 'software requirements review')],[[ 0.76632136  0.23367867]]
[('defined process', 'software requirements review')],[[ 0.76632029  0.23367973]]
[('control flow diagram', 'software requirements review')],[[ 0.76631862  0.23368135]]
[('u-curve optimization', 'software requirements review')],[[ 0.7663151   0.23368484]]
[('factoring', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('standup meeting', 'software requirements review')],[[ 0.7663092   0.23369086]]
[('star schema', 'software requirements review')],[[ 0.76631993  0.23368004]]
[('fibonacci sequence', 'software requirements review')],[[ 0.76632017  0.23367982]]
[('exploration', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('decision', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('startup', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('release plan', 'software requirements review')],[[ 0.76590294  0.23409702]]
[('implementation', 'software requirements review')],[[ 0.76631403  0.23368603]]
[('commitment', 'software requirements review')],[[ 0.76632208  0.23367795]]
[('representation', 'software requirements review')],[[ 0.76631933  0.23368068]]
[('software safety program', 'software requirements review')],[[ 0.0632431   0.93675697]]
[('product analysis', 'software requirements review')],[[ 0.76632214  0.23367792]]
[('system', 'software requirements review')],[[ 0.76632214  0.23367792]]
[('workstation', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('fast feedback', 'software requirements review')],[[ 0.76632178  0.23367825]]
[('crystal', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('nice-to-have features', 'software requirements review')],[[ 0.76631933  0.23368068]]
[('health', 'software requirements review')],[[ 0.76632267  0.23367728]]
