Label Encoding:
no=[1, 0]
yes=[0, 1]
[('driver', 'scrum team')],[[ 0.14119689  0.85880309]]
[('contractor', 'scrum team')],[[ 0.5933575  0.4066425]]
[('run', 'scrum team')],[[ 0.2844494   0.71555054]]
[('deployment', 'scrum team')],[[ 0.3764976   0.62350231]]
[('co-located team', 'scrum team')],[[ 0.01613463  0.98386532]]
[('binning', 'scrum team')],[[ 0.74712253  0.25287744]]
[('reliability', 'scrum team')],[[ 0.73435187  0.2656481 ]]
[('address', 'scrum team')],[[ 0.51760876  0.48239127]]
[('effort', 'scrum team')],[[ 0.17563626  0.82436371]]
[('workstation', 'scrum team')],[[ 0.6499036  0.3500964]]
[('assumption', 'scrum team')],[[ 0.19355969  0.80644029]]
[('operation', 'scrum team')],[[ 0.25229719  0.74770284]]
[('software requirements review', 'scrum team')],[[ 0.76632196  0.23367795]]
[('robust', 'scrum team')],[[ 0.45843506  0.54156494]]
[('feature based planning', 'scrum team')],[[ 0.76606488  0.2339351 ]]
[('expensed cost', 'scrum team')],[[ 0.76572531  0.2342747 ]]
[('failure', 'scrum team')],[[ 0.27349743  0.72650254]]
[('customer-value-creation sprint', 'scrum team')],[[ 0.76632249  0.23367752]]
[('product', 'scrum team')],[[ 0.07120205  0.92879796]]
[('software safety program', 'scrum team')],[[ 0.76603127  0.23396868]]
[('class data', 'scrum team')],[[ 0.15050174  0.84949821]]
[('story test', 'scrum team')],[[ 0.04411973  0.95588022]]
[('glossary', 'scrum team')],[[ 0.61254019  0.38745984]]
[('story mapping', 'scrum team')],[[ 0.22512832  0.77487165]]
[('build', 'scrum team')],[[ 0.55889857  0.44110143]]
[('accuracy', 'scrum team')],[[ 0.26254252  0.73745745]]
[('planning poker', 'scrum team')],[[ 0.7073946   0.29260534]]
[('imposed date', 'scrum team')],[[ 0.62579453  0.3742055 ]]
[('nonfunctional requirement', 'scrum team')],[[ 0.76631552  0.23368442]]
[('identity-style view', 'scrum team')],[[ 0.76616353  0.23383646]]
[('cycle', 'scrum team')],[[ 0.24323305  0.75676697]]
[('stream', 'scrum team')],[[ 0.04699187  0.95300812]]
[('transaction cost', 'scrum team')],[[ 0.73429859  0.26570141]]
[('value chain', 'scrum team')],[[ 0.05653954  0.94346046]]
[('portfolio planning', 'scrum team')],[[ 0.74943691  0.25056303]]
[('documentation tree', 'scrum team')],[[ 0.71932024  0.28067979]]
[('usability', 'scrum team')],[[ 0.39743668  0.60256338]]
[('outcome measure', 'scrum team')],[[ 0.3446039   0.65539616]]
[('user interface', 'scrum team')],[[ 0.18422432  0.81577563]]
[('software design verification', 'scrum team')],[[ 0.76632226  0.23367777]]
[('team', 'scrum team')],[[ 0.01211016  0.98788983]]
[('test criteria', 'scrum team')],[[ 0.27321047  0.72678953]]
[('technical performance measurement', 'scrum team')],[[ 0.76632267  0.23367728]]
[('simple domain', 'scrum team')],[[ 0.34110877  0.65889126]]
[('algorithm', 'scrum team')],[[ 0.33494499  0.66505492]]
[('output product', 'scrum team')],[[ 0.5198136  0.4801864]]
[('certified scrummaster', 'scrum team')],[[ 0.75678509  0.24321486]]
[('tool', 'scrum team')],[[ 0.33024946  0.66975051]]
[('domain definition', 'scrum team')],[[ 0.76261938  0.23738064]]
[('iterative development', 'scrum team')],[[ 0.76473129  0.23526871]]
[('software quality', 'scrum team')],[[ 0.6099655  0.3900345]]
[('continuous improvement', 'scrum team')],[[ 0.76133776  0.23866223]]
[('documentation', 'scrum team')],[[ 0.66384149  0.33615845]]
[('delivery', 'scrum team')],[[ 0.36052188  0.63947815]]
[('Extreme Programming', 'scrum team')],[[ 0.73248672  0.2675133 ]]
[('formal testing', 'scrum team')],[[ 0.17638314  0.82361686]]
[('requirements phase', 'scrum team')],[[ 0.7381466   0.26185346]]
[('non-functional requirement', 'scrum team')],[[ 0.76632196  0.23367795]]
[('backlog refinement', 'scrum team')],[[ 0.75366783  0.2463322 ]]
[('architecture', 'scrum team')],[[ 0.65098548  0.34901449]]
[('recovery', 'scrum team')],[[ 0.18833773  0.81166232]]
[('crystal', 'scrum team')],[[ 0.12984301  0.87015706]]
[('script', 'scrum team')],[[ 0.04918772  0.95081228]]
[('set', 'scrum team')],[[ 0.36382046  0.63617951]]
[('requirements specification language', 'scrum team')],[[ 0.76632273  0.23367725]]
[('complicated domain', 'scrum team')],[[ 0.76148158  0.23851843]]
[('design fault', 'scrum team')],[[ 0.26912639  0.73087364]]
[('pbi slotting', 'scrum team')],[[ 0.73521382  0.26478618]]
[('natural language', 'scrum team')],[[ 0.73876464  0.26123536]]
[('scrum master', 'scrum team')],[[ 0.00340816  0.99659193]]
[('software development notebook', 'scrum team')],[[ 0.76632196  0.23367795]]
[('using smartsheet as your agile project management tool', 'scrum team')],[[ 0.76632273  0.23367725]]
[('silent grouping', 'scrum team')],[[ 0.74334747  0.25665253]]
[('user story', 'scrum team')],[[ 0.04949828  0.95050168]]
