no	Incorrect	input-process-output chart		graph	[[ 0.67269593  0.32730401]]	[[[  0.83931142   0.88226723   0.87317715   0.95527946   0.68871825
no	Correct	assessment		demand paging	[[ 0.67265904  0.32734093]]	[[[  0.87857138   0.93917893   0.90249311   0.84749705   0.62591805
no	Correct	device		continuous deployment	[[ 0.67269629  0.32730374]]	[[[  0.88977729   0.85934731   0.81961335   0.94040138   0.71641189
no	Correct	modifiability		traceability	[[ 0.51374692  0.48625299]]	[[[ 0.94840315  0.97679548  0.94334242  0.95825246  0.68673953  0.90131881
no	Incorrect	schedule network analysis		critical chain method	[[ 0.67269593  0.32730401]]	[[[  0.           0.           0.           0.98713631   0.9206133
no	Correct	roll in		timeliness function	[[ 0.67269403  0.32730603]]	[[[  0.           0.           0.           0.93685642   0.73021647
no	Correct	functional user requirements		measurement experience base	[[ 0.67269593  0.32730407]]	[[[  0.88397308   0.9204111    0.87313326   0.85665066   0.72416375
no	Correct	multiprogramming		change management	[[ 0.67269361  0.32730636]]	[[[  0.87405312   0.94027324   0.90914994   0.8994228    0.62678404
no	Correct	sizing		sprint backlog	[[ 0.6723755   0.32762447]]	[[[  0.90755886   0.89356858   0.73582615   0.79417735   0.55848722
no	Correct	expandability		boundary value	[[ 0.67268825  0.32731178]]	[[[  0.90526087   0.95050694   0.91980826   0.85575002   0.55203773
no	Correct	standup-daily meeting		machine-independent	[[ 0.6726957   0.32730436]]	[[[  0.77210515   0.85370545   0.73881237   0.81379352   0.61797238
no	Correct	flow chart		level 1 initiation routine	[[ 0.67270666  0.32729331]]	[[[  0.           0.           0.           0.85439925   0.55033051
no	Correct	manual		last responsible moment	[[ 0.67269689  0.32730317]]	[[[  0.94392307   0.94864046   0.87433554   0.83835237   0.40620092
no	Correct	level of performance		estimation	[[ 0.67269653  0.32730341]]	[[[  0.91065291   0.96358928   0.88586567   0.84986674   0.6360384
no	Correct	magic string		calling sequence	[[ 0.67171764  0.32828239]]	[[[  0.94653084   0.96963626   0.92845607   0.93527655   0.76955154
yes	Correct	validation		verification	[[ 0.20492189  0.7950781 ]]	[[[ 0.95191875  0.95211539  0.91326175  0.97223478  0.85000874  0.92778209
no	Incorrect	decompiler		coupling	[[ 0.5725497   0.42745027]]	[[[ 0.85975926  0.9166978   0.8949794   0.75455243  0.26081001  0.47406661
no	Incorrect	compiler generator		metacompiler	[[ 0.67269212  0.32730791]]	[[[  0.96516597   0.98721312   0.98015081   0.98883196   0.8400654
yes	Correct	product		project	[[ 0.02828799  0.97171199]]	[[[ 0.83501667  0.92480369  0.86463171  0.97098759  0.70723999  0.85912349
no	Correct	tag slide		using smartsheet as your agile project management tool	[[ 0.67269593  0.32730407]]	[[[  0.           0.           0.           0.89513852   0.62574421
no	Correct	essential Scrum		cost-plus-fee	[[ 0.67277157  0.32722843]]	[[[  0.           0.           0.           0.95279078   0.58198666
no	Correct	descendent box		node	[[ 0.67332637  0.3266736 ]]	[[[  0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.
no	Correct	rework		project procurement management	[[ 0.67269593  0.32730401]]	[[[  0.91693863   0.92896997   0.92396041   0.87602241   0.63865836
no	Correct	visibility		partial correctness	[[ 0.67269605  0.32730392]]	[[[  0.90153563   0.90538497   0.85577193   0.83747278   0.63069866
no	Incorrect	open subroutine		macro	[[ 0.67253208  0.32746789]]	[[[  0.96875684   0.95477903   0.92979231   0.94844853   0.64784913
no	Correct	configuration audit		deliver primitive	[[ 0.67269373  0.32730621]]	[[[  0.           0.           0.           0.95671681   0.80613968
no	Correct	risk management system		duration	[[ 0.67269617  0.32730386]]	[[[  0.87343998   0.93689395   0.83503523   0.89788679   0.6576501
no	Correct	functional language		computer security	[[ 0.67269588  0.32730407]]	[[[  0.89749254   0.94779207   0.85724897   0.90583532   0.63799766
no	Correct	cardinality constraint		proof of correctness	[[ 0.67269599  0.32730401]]	[[[  0.95672238   0.95908961   0.91568036   0.95909287   0.81293848
no	Correct	sprint planning		driver	[[ 0.67268306  0.32731694]]	[[[  0.85060116   0.88196821   0.71556894   0.93310609   0.59238893
no	Correct	external inquiry		project scope statement	[[ 0.67269742  0.32730255]]	[[[  0.           0.           0.           0.90261461   0.65023604
no	Correct	known technical debt		evaluation group	[[ 0.67269695  0.32730302]]	[[[  0.87151721   0.81980918   0.7297424    0.96430177   0.79964024
no	Correct	backward execution		scheduled finish date	[[ 0.67270494  0.32729509]]	[[[  0.           0.           0.           0.94272141   0.65297135
no	Incorrect	complex domain		Cynefin	[[ 0.6725806  0.3274194]]	[[[  0.89101248   0.92938684   0.79662211   0.91677238   0.72371976
no	Incorrect	module		call by value	[[ 0.67260474  0.32739523]]	[[[  0.93084175   0.95338961   0.93452271   0.84630029   0.71510342
no	Correct	order language		relevant stakeholder	[[ 0.67269695  0.32730311]]	[[[  0.           0.           0.           0.84317462   0.61080645
no	Correct	system stakeholder		design phase	[[ 0.67268604  0.32731399]]	[[[  0.79045645   0.           0.71986708   0.90801624   0.73300918
no	Correct	change set		division of standards	[[ 0.6726985   0.32730156]]	[[[  0.           0.           0.           0.89707777   0.63063514
no	Correct	operations manual		software project life cycle process	[[ 0.67269593  0.32730401]]	[[[  0.           0.           0.           0.95199993   0.79792908
no	Correct	active area		state class	[[ 0.65909612  0.34090391]]	[[[ 0.87673043  0.94333922  0.92919453  0.94446055  0.77765006  0.86376835
yes	Correct	branch		jump	[[ 0.23082238  0.76917762]]	[[[ 0.87854812  0.92108828  0.72609495  0.88867268  0.64271618  0.80442862
no	Correct	risk management process		total correctness	[[ 0.67269641  0.32730362]]	[[[  0.89910221   0.93589907   0.81747798   0.88472838   0.61677698
no	Incorrect	peer review		inspection	[[ 0.6724841   0.32751593]]	[[[  0.90367674   0.96513879   0.88859336   0.88925658   0.57688958
no	Correct	multiple inheritance		item of documentation	[[ 0.67269766  0.32730231]]	[[[  0.           0.           0.           0.90060192   0.63489145
no	Correct	interface testing		plan communications	[[ 0.67269629  0.32730374]]	[[[  0.           0.           0.           0.90821632   0.74710892
no	Correct	network		initial program load	[[ 0.67269588  0.32730407]]	[[[  0.9107213    0.93531692   0.93706622   0.94873452   0.72670433
no	Incorrect	data abstraction		information hiding	[[ 0.67269319  0.32730681]]	[[[  0.9838713    0.99409731   0.98505312   0.99634324   0.9387744
no	Correct	evaluation records		variable	[[ 0.67265874  0.32734126]]	[[[  0.90692636   0.96139209   0.93327232   0.89978909   0.61785528
no	Correct	spike		software monitor	[[ 0.67268676  0.32731321]]	[[[  0.90028599   0.91788711   0.87559029   0.8712357    0.7140225
no	Correct	exit criteria		OAuth	[[ 0.67270297  0.327297  ]]	[[[  0.85738345   0.91141307   0.73559361   0.85113811   0.52112672
no	Correct	external quality		Data Movement Service	[[ 0.67269665  0.32730329]]	[[[  0.86375587   0.90696156   0.76240636   0.92294005   0.78554464
no	Correct	define activities		functional complexity	[[ 0.6726957   0.32730427]]	[[[  0.95078144   0.9524253    0.94541414   0.90291554   0.79466216
no	Correct	product development effort		relative address	[[ 0.67270112  0.32729888]]	[[[  0.           0.           0.           0.88944446   0.73472364
no	Correct	grooming		design-to cost	[[ 0.67269266  0.32730737]]	[[[  0.93123623   0.96912874   0.85488019   0.85844968   0.54946933
yes	Incorrect	load		graph	[[ 0.21894924  0.7810508 ]]	[[[ 0.90828099  0.92177829  0.85524425  0.8528271   0.51284274  0.72025075
yes	Correct	fault secure		fail-safe	[[ 0.3003903  0.6996097]]	[[[ 0.          0.          0.          0.92315534  0.75144491  0.86609487
no	Correct	user interface task		contiguous allocation	[[ 0.67269605  0.32730392]]	[[[  0.86588479   0.93221023   0.87909119   0.90481192   0.73899043
no	Correct	tutorial		software engineering	[[ 0.67269593  0.32730401]]	[[[  0.80291078   0.89841675   0.79686919   0.93460107   0.66221297
no	Correct	verb phrase		process improvement project	[[ 0.67269868  0.32730135]]	[[[  0.           0.           0.           0.832271     0.43476284
no	Correct	software quality evaluation		carrier	[[ 0.67269593  0.32730401]]	[[[  0.84156711   0.90970207   0.79799215   0.87624411   0.48554332
no	Correct	sprint mapping		work breakdown structure component	[[ 0.67269653  0.32730341]]	[[[  0.           0.           0.           0.95436631   0.71614757
no	Incorrect	risk		uncertainty	[[ 0.63214129  0.36785868]]	[[[ 0.8770637   0.88785158  0.84262001  0.94615154  0.72128827  0.84117012
no	Correct	coordination		epic owner	[[ 0.67262757  0.32737246]]	[[[  0.86582636   0.9258144    0.90375518   0.8772918    0.61175352
no	Correct	behavior specification		updatable argument	[[ 0.67269599  0.32730401]]	[[[  0.8604589    0.92834611   0.8904249    0.82250229   0.49111371
no	Correct	window		response time	[[ 0.67266744  0.3273325 ]]	[[[  0.90124624   0.8968403    0.91705075   0.95617796   0.67643908
no	Correct	engineering		test driver	[[ 0.67175078  0.32824925]]	[[[  0.9307506    0.9616747    0.92751095   0.95061859   0.59215544
no	Correct	domain model		padding	[[ 0.66468936  0.33531061]]	[[[  0.8004183    0.85420103   0.77358574   0.85142303   0.70008773
no	Correct	promotion		appraisal findings	[[ 0.67269784  0.32730213]]	[[[  0.           0.           0.           0.94982971   0.65710574
no	Incorrect	if-then-else		jump	[[ 0.6719144   0.32808557]]	[[[  0.91503647   0.96246316   0.92329217   0.84378759   0.55203042
yes	Correct	end user		end-user	[[  1.68337902e-12   1.00000000e+00]]	[[[ 1.          1.00000007  0.99999992  0.99722612  0.98340836  0.99632884
no	Correct	viewpoint		story points	[[ 0.65872711  0.34127283]]	[[[ 0.88923386  0.91707735  0.84532455  0.90266914  0.61825705  0.7729664
yes	Correct	pack		unpack	[[ 0.0210539   0.97894615]]	[[[ 0.96113514  0.97340845  0.97073071  0.89162486  0.67658202  0.77587926
no	Correct	baseline staging stream		automated verification system	[[ 0.67269593  0.32730407]]	[[[  1.           1.           1.           0.95264079   0.72964729
no	Correct	content assist		absolute address	[[ 0.67234111  0.32765883]]	[[[  0.91692944   0.91823704   0.82433234   0.92658931   0.73074481
yes	Correct	process		job	[[ 0.25351393  0.74648607]]	[[[ 0.91096271  0.96910422  0.91196351  0.93837262  0.75833765  0.89560594
no	Correct	data exception		maintenance branch	[[ 0.67265218  0.32734776]]	[[[  0.86421236   0.88446569   0.77491099   0.839098     0.80148424
no	Correct	contingency reserve		persona	[[ 0.6729036  0.3270964]]	[[[  0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.
no	Correct	on-screen documentation		identify risks	[[ 0.67269629  0.32730374]]	[[[  0.61340811   0.75047631   0.69383682   0.86035546   0.54252947
no	Correct	resource histogram		subroutine	[[ 0.67269588  0.3273041 ]]	[[[  0.86485501   0.73646142   0.8937555    0.85829534   0.77540332
no	Correct	work in progress		test case execution record	[[ 0.67269665  0.32730335]]	[[[  0.           0.           0.           0.86129507   0.76919249
no	Incorrect	precision		preprocessor	[[ 0.6092512   0.39074883]]	[[[ 0.8639339   0.8972715   0.89835851  0.85539312  0.52873332  0.76552061
no	Correct	boundary arrow		process area	[[ 0.67267495  0.32732508]]	[[[  0.           0.           0.           0.81817447   0.52094511
yes	Correct	multiprocessing		multiprogramming	[[ 0.18571307  0.81428695]]	[[[ 0.91518284  0.96911638  0.92847413  0.99501406  0.73301961  0.9739808
no	Correct	transportability		design characteristic	[[ 0.67269599  0.32730401]]	[[[  0.94736678   0.96466279   0.95190584   0.93680636   0.79699399
no	Correct	object-oriented structured design		release plan	[[ 0.67269683  0.3273032 ]]	[[[  0.           0.           0.           0.93257297   0.72343305
no	Correct	reusability		read	[[ 0.52933466  0.47066528]]	[[[ 0.90008427  0.9160903   0.90706033  0.91303656  0.62251174  0.79474373
no	Correct	u-curve optimization		verb phrase	[[ 0.67270356  0.32729644]]	[[[  0.83915899   0.90288909   0.74101309   0.82672979   0.5201517
no	Correct	operations manual		process	[[ 0.6726945   0.32730547]]	[[[  0.93682316   0.93732465   0.90484046   0.97908937   0.80499216
no	Incorrect	sprint retrospective		inspect and adapt	[[ 0.67269593  0.32730401]]	[[[  0.8993208    0.98663983   0.94730919   0.99080702   0.86759317
no	Correct	assumption		flowchart	[[ 0.67224729  0.32775274]]	[[[  0.91443196   0.96543838   0.86239207   0.8899456    0.61584274
no	Incorrect	notice of revision		engineering change	[[ 0.67269892  0.32730108]]	[[[  0.           0.           0.           0.91326584   0.73986904
no	Incorrect	superclass		total cluster	[[ 0.67244458  0.32755536]]	[[[  0.80144861   0.89061719   0.84037264   0.86799987   0.59227854
no	Correct	absolute code		reserved word	[[ 0.66929758  0.33070248]]	[[[  0.91717662   0.95271258   0.92601538   0.90378676   0.73660435
no	Correct	entrance		technical debt	[[ 0.6726045   0.32739544]]	[[[  0.93596471   0.9287039    0.87919171   0.92493226   0.51330267
no	Correct	event sequence analysis		path expression	[[ 0.67269605  0.32730392]]	[[[  0.85989153   0.88140516   0.75332158   0.93854637   0.7697998
no	Correct	quality		box detail reference	[[ 0.67269969  0.32730031]]	[[[  0.           0.           0.           0.91905515   0.67653707
no	Correct	structured programming		chickens and pigs	[[ 0.67269689  0.32730311]]	[[[  0.94094462   0.96433187   0.93878156   0.77921093   0.33187413
no	Incorrect	continuous improvement		kaizen	[[ 0.67269599  0.32730398]]	[[[  0.92972916   0.9698822    0.91282227   0.99346502   0.61053889
yes	Correct	fail safe		failsafe	[[ 0.0297489   0.97025114]]	[[[ 0.85927268  0.95027418  0.78128112  0.97883673  0.93264767  0.93867003
no	Correct	program librarian		personnel	[[ 0.67269772  0.32730231]]	[[[  0.           0.           0.           0.92888227   0.59977137
no	Correct	networking		implied needs	[[ 0.67268276  0.32731733]]	[[[  0.89668343   0.86885454   0.84328314   0.87659837   0.60988552
no	Correct	inductive assertion		defect	[[ 0.67270815  0.32729185]]	[[[  0.           0.           0.           0.90259187   0.53558095
no	Correct	software test environment		key-style view	[[ 0.67269599  0.32730398]]	[[[  0.84929635   0.89092153   0.69863637   0.90035591   0.74266402
no	Correct	mock object		modifiable	[[ 0.56204116  0.43795884]]	[[[ 0.92483778  0.93846951  0.8906034   0.90673047  0.6403667   0.87130627
yes	Correct	extendability		extensibility	[[ 0.02680904  0.9731909 ]]	[[[ 0.97566271  0.98688487  0.96543875  0.98114969  0.93194861  0.97157474
no	Correct	list processing language		defect density	[[ 0.67269599  0.32730401]]	[[[  0.70746604   0.88898685   0.86826004   0.93966175   0.72222613
no	Correct	computer program		programmable terminal	[[ 0.67269558  0.32730442]]	[[[  0.92982332   0.8110387    0.87781437   0.9298546    0.66355578
no	Incorrect	incremental funding		confidence threshold	[[ 0.67269516  0.32730484]]	[[[  0.92691662   0.93896564   0.88719313   0.93031016   0.79279693
no	Incorrect	program design		pseudo code	[[ 0.67259842  0.32740158]]	[[[  0.8888475    0.94368724   0.88059552   0.95347999   0.48729552
no	Correct	support activity group		meta-	[[ 0.67269933  0.32730061]]	[[[  0.           0.           0.           0.86410639   0.43906029
no	Correct	failsafe		order language	[[ 0.6726051   0.32739493]]	[[[  0.86501008   0.92649939   0.77918562   0.86449111   0.71699244
yes	Correct	database		data base	[[  2.67986936e-04   9.99731958e-01]]	[[[ 0.92968111  0.98189047  0.96179605  0.99735446  0.9476159   0.98308107
no	Incorrect	address modification		effective address	[[ 0.66904008  0.33095995]]	[[[  0.88764151   0.87982098   0.86512016   0.95018203   0.81374859
no	Correct	maintenance manual		ground term	[[ 0.6726957   0.32730436]]	[[[  0.93138083   0.8971169    0.87937147   0.82946931   0.5494974
no	Correct	preparation time		quality assurance	[[ 0.6726957   0.32730433]]	[[[  0.82311497   0.93595823   0.83945012   0.89076421   0.58399194
no	Correct	submit primitive		project management knowledge area	[[ 0.67269593  0.32730407]]	[[[  1.           1.           1.           0.85001969   0.53458556
no	Correct	nesting		pragma	[[ 0.67297065  0.32702935]]	[[[ 0.  0.  0.  0.  0.  0.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  7.
no	Correct	event sequence analysis		list	[[ 0.67269599  0.32730398]]	[[[  0.86218926   0.90876747   0.8174014    0.94251458   0.69921552
no	Correct	beneficiary		code freeze	[[ 0.6725359  0.3274641]]	[[[  0.8743748    0.89141214   0.85914806   0.79743386   0.5768165
no	Correct	maintenance program		entry point	[[ 0.67268521  0.32731479]]	[[[  0.95380269   0.96172173   0.95293031   0.90737749   0.67874212
no	Correct	magic string		absolute code	[[ 0.67246741  0.32753259]]	[[[  0.94365148   0.96181646   0.91189655   0.95378009   0.71372353
no	Correct	test class		nonidentifying relationship	[[ 0.67269599  0.32730398]]	[[[  0.8882949    0.91671749   0.84652547   0.93641242   0.71403823
no	Correct	magic number		communications planning	[[ 0.67269599  0.32730398]]	[[[  0.80334441   0.85999635   0.78501058   0.86042189   0.66429091
no	Correct	bundle		pair programming	[[ 0.67269546  0.32730457]]	[[[  0.90704318   0.90180245   0.8519999    0.91095066   0.66062345
no	Correct	pass criteria		arrow	[[ 0.67260152  0.32739851]]	[[[  0.86849961   0.92397445   0.88377632   0.79219852   0.35483726
no	Correct	points		existence dependency	[[ 0.67269653  0.3273035 ]]	[[[  0.91802356   0.84965925   0.85057359   0.86398561   0.67424209
yes	Correct	error		defect	[[ 0.34670815  0.65329182]]	[[[ 0.92175292  0.9557147   0.84257677  0.90605181  0.75521724  0.80013171
no	Correct	computer software configuration item		multiple inclusive selective construct	[[ 0.67269593  0.32730407]]	[[[  0.90125571   0.9396333    0.76386772   0.82772971   0.5679547
no	Correct	top box		operator field	[[ 0.67239922  0.32760072]]	[[[  0.89396221   0.8936648    0.83533605   0.7943005    0.62125302
no	Correct	activity attributes		low level	[[ 0.67269582  0.32730412]]	[[[  0.90077278   0.95138632   0.90684113   0.90673035   0.68494219
no	Correct	effectiveness analysis		replication schema	[[ 0.67269653  0.3273035 ]]	[[[  0.           0.           0.           0.87547418   0.66030082
no	Correct	design pattern		remote job entry	[[ 0.67248172  0.32751834]]	[[[  0.90749961   0.92359434   0.8611483    0.90177533   0.67565385
no	Incorrect	marginal economics		portfolio planning	[[ 0.67268693  0.32731307]]	[[[  0.           0.           0.           0.91266321   0.64536951
no	Incorrect	snapshot		baseline	[[ 0.65905261  0.34094742]]	[[[ 0.89553535  0.92986555  0.92538347  0.92332975  0.55594059  0.81661249
no	Correct	critical path		servant leader	[[ 0.67224306  0.32775688]]	[[[  0.82514105   0.90248918   0.78268805   0.93014917   0.6017744
no	Correct	multiple-address instruction		information processing system	[[ 0.67269593  0.32730401]]	[[[  0.           0.           0.           0.93907642   0.82867277
no	Correct	log out		specification relationships to one another	[[ 0.67269593  0.32730407]]	[[[  0.           0.           0.           0.85896201   0.5030044
no	Correct	simulator		central processing unit	[[ 0.67269593  0.32730401]]	[[[  0.88266341   0.94515289   0.76470511   0.91762539   0.59982104
no	Correct	test driver		context of use	[[ 0.67225784  0.32774222]]	[[[  0.92919575   0.96775024   0.94121077   0.92433945   0.58266925
no	Correct	control data		development life cycle	[[ 0.67269611  0.32730386]]	[[[  0.86579406   0.90001164   0.79978582   0.94384038   0.76695641
no	Correct	diverse redundancy		synchronous message communication without reply	[[ 0.67269593  0.32730407]]	[[[  1.           1.           1.           0.78045404   0.43099468
no	Correct	big-bang testing		data base	[[ 0.67271543  0.32728454]]	[[[  0.           0.           0.           0.85251671   0.54938824
